,Timestamp,Gender,Age,District,Job,Education,MaritalStatus,MonthlySalary,MobilePhone,BankAccounts,AwareOfMobileBankingApps,Place,MobileBanking,Reasons,TransactionFrequency,TransactionMethods,FullyAwareOfMobileBanking,PreferOtherMethods,NotComfortableWithNewTech,NotSatisfiedWithUI,LanguageProblems,NetworkConnectivityTrust,SecurityRisks,MobileServiceProviderPoorPerformance,Motivations,,,,,,,,,,,,,,,,,,,,,,,,
1,2020/11/04 1:12:44 AM GMT+5:30,Female,26,Kegalle,Private Sector,Graduate,Married,"Above 100, 001",Yes,Yes,Yes,Bank directly,No,I am not fully aware of Mobile Banking;Setting up Mobile Banking is tiresome / takes time,Monthly - Several times,ATM (Automatic Teller Machine),Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Reduced risks involved in my transactions;Easy to setup,කෑගල්ල,ඔව්,26,විවාහක,ATM හරහා,එකඟ නොවේ,එකඟ නොවේ,ස්ත්‍රී,එකඟයි,"100, 001 ට වැඩි",මාසිකව - කිහිප වතාවක්,එකඟයි,නැත,උදාසීනයි,උපාධිධාරි,ඔව්,එකඟ නොවේ,Mobile Banking පිළිබඳව මම සම්පූර්ණයෙන් නොදනිමි;Mobile Banking සැකසීම වෙහෙසකර / කාලය ගතවේ,පෞද්ගලික අංශය,එකඟ නොවේ,ඔව්,මගේ ගනුදෙනු වලට සම්බන්ධ අවදානම් අඩුවීම,බැංකුව හරහා,එකඟ නොවේ
2,2020/11/04 1:18:44 AM GMT+5:30,Female,26,Kegalle,Private Sector,Graduate,Married,"Above 100, 001",Yes,Yes,Yes,Bank directly,No,Transactional risk;I am not fully aware of Mobile Banking;Setting up Mobile Banking is tiresome / takes time,Monthly - Several times,ATM (Automatic Teller Machine),Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Reduced risks involved in my transactions;Easy setup,,,,,,,,,,,,,,,,,,,,,,,,
3,2020/11/04 1:43:38 AM GMT+5:30,Female,24,Anuradhapura,Government Sector,A / L,Unmarried,"30, 001 – 60, 000",Yes,Yes,No,Friends or Family,No,I am not fully aware of Mobile Banking,Weekly - Several times,Online (Internet),Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
4,2020/11/04 8:04:10 AM GMT+5:30,Female,26,Galle,Private Sector,Graduate,Unmarried,"Above 100, 001",Yes,Yes,Yes,Bank directly,Yes,,Monthly - Several times,Online (Internet),Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020/11/04 8:58:51 AM GMT+5:30,Male,25,Badulla,Private Sector,Post Graduate,Unmarried,"Above 100, 001",Yes,Yes,Yes,,Yes,,Daily - once,Online (Internet),Strongly Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
6,2020/11/04 10:56:21 AM GMT+5:30,Female,26,Gampaha,Private Sector,Graduate,Unmarried,"Above 100, 001",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,Prefer other means like bank directly or internet banking,Weekly - Several times,Online (Internet),Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
7,2020/11/04 12:57:08 PM GMT+5:30,Female,24,Polonnaruwa,Government Sector,Diploma,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Occasionally (less than once a month),ATM (Automatic Teller Machine),Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
8,2020/11/04 1:05:10 PM GMT+5:30,Female,24,Polonnaruwa,Government Sector,A / L,Unmarried,"10, 000 – 30, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Occasionally (less than once a month),ATM (Automatic Teller Machine),Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,
9,2020/11/04 2:51:42 PM GMT+5:30,Male,27,Kandy,Government Sector,Graduate,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Bank directly,Yes,,Monthly - Once,Online (Internet),Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
10,2020/11/04 6:19:54 PM GMT+5:30,Female,28,Gampaha,Government Sector,Graduate,Unmarried,"Above 100, 001",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Weekly - Once,ATM (Automatic Teller Machine),Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
